	X1	X3	X4	X5	X6	X7	X8	X9	X10	X11	X12	X13	X14	X15	X16	X17	X18	X19	X20	X21	X22	X23	X24	X25	X26	X27	X28	X29	X30	X31	X32	X33	X34	X35	X36	X37	X38	X39	X40	X41	X42	X43	X44	X45	X46	X47	X48	X49	X50	X51	X53	X54	X55	X57	X58	X59	X60	X61	X62	X63	X64	X65	X66	X67	X68	X69	X70	X71	X72	X73	X74	X101	X102	X103	X104	X105	X106	X107	X108	X109	X110	X111	X112	X113	X114	X115	X116	X117	X118	X119	X120	X122	X123	X124	X125	X126	X127	X128	X129	X130	X131	X132	X133	X134	X135	X136	X137	X138	X139	X140	X141	X142	X143	X144	X145	X146	X147	X148	X149	X150	X151	X152	X153	X154	X155	X156	X157	X158	X159	X160	X161	X162	X163	X164	X165	X166	X167	X168	X169	X170	X171	X172	X173	X174	X175	X176	X177	X178	X179	X180	X182	X183	X184	X185	X186	X187	X188	X189	X190	X191	X192	X193
Hydroxypropyl		942	2402	602	213	16137	195	2747	2287	356	8705	18604	421	395	2187	8708	395	137	6663	527	1349	203	816	3650	16754	381	19794	639	12056	206	321	10580	1621	3457	7005	4676	194	10357	151	20568	8588	18025	733	3743	1041	2306	6661	269	5736	340	10392	3627	556	3250	337	3436	188	6215	511	1619	6037	4355	8935	660	147	22948	2884	8058	1477	201	1258	1320	23658	4401	5133	193	5153	7159	503	2013	20618	204	17198	879	525	165	2618	540	311	423	311	2764	13033	9225	9295	13324	70	332	514	84	998	165	2012	7782	288	2589	430	8778	3217	3364	464	167	13074	180	12242	443	3180	6402	1136	478	3600	7710	6971	15541	238	2629	16005	483	9724	359	11991	3682	9015	31	2651	11949	3835	2247	1473	1207	4460	333	2864	816	3847	1264	527	1486	8546	459	418	551	5864			219		183	1516	7803	3087	1141
Hydroxybutyl		4	10	183	198	5	4	12	26	114	5	4	105	52	15	6	306	37	4	164	18	258	106	10	4	107	10	210	4	272	228	4	20	26	4	28	8	7	38	12	7	5	120	27	49	19	32	83	16	256	8	20	235	14	281	25	115	5	61	5	23	18	5	153	99	10	19	4	322	115	7	12	8	14	15	94	15	25	95	17	4	49	8	228	579	111	88	361	11	170	66	11	7	6	5	7	47	191	73	49	4	109	15	7	123	7	77	5	8	13	55	284	9	131	6	63	13	4	14	67	20	4	6	7	95	9	6	333	6	178	6	28	4	25	23	4	4	113	8	16	4	86	17	105	4	11	504	144	6	62	121	393	40			82		54	13	5	25	10
Methylsulfinylbutyl		55	62	13386	1671	328	718	92	57	1115	84	133	6037	772	52	138	1464	5208	124	2314	39	3057	8766	88	128	735	293	5528	306	2048	3857	172	51	48	153	99	5160	180	7687	355	119	171	14722	107	10274	98	107	1331	101	3023	332	56	3285	77	4461	58	1460	103	10407	75	81	185	171	1669	1155	272	67	176	16289	1151	34	56	242	91	73	337	212	62	7203	37	105	7972	103	3929	8652	2154	9062	5160	3150	1789	12957	100	180	222	120	160	403	1936	13756	156	91	994	28	201	21609	157	15837	156	78	58	11296	5155	401	1182	116	7157	80	108	46	6234	84	175	79	199	305	39	209	4668	174	2939	219	46	147	7528	41	102	158	16027	95	25	45	7468	24	6931	64	26	3716	5829	157	5732	6206	4725	132			801		3375	17	131	96	23
Butenyl		84	32	18	4339	8	26459	94	58	22515	6	8	4	3192	157	8	2908	4	4	21227	104	2209	14	36	14	8645	4	17947	5	14307	6334	12	40	96	6	211	8	6	4	6	8	4	22	65	27	63	80	24463	70	18114	4	97	9300	39	10554	81	7743	8	8	56	52	97	5	4133	2457	10	41	9	4	4005	143	15	4	58	77	30237	104	99	4	108	4	4	4	7611	27987	19139	4	7114	4	1531	6	67	4	21	5	9	8565	9156	4	2757	87	14748	101	5	4	57	7	8	95	64	4	9154	7	23649	6	10	80	6	64	4	174	4	6	4	5827	101	5	7084	5	18500	13	119	4	4	87	4	4	11	67	47	139	4	44	6	4	97	24579	4	4	5	9	4820	104			4125		4	132	4	95	68
Methylthiopropyl		3108	569	4	7	30	4	3021	4	4	25	9	4	4	4	6	4	4	137	4	15	4	4	67	709	4	4	4	714	4	4	140	6	127	32	44	4	24	4	12	4	748	4	279	16	3158	519	4	6404	4	4	8	4	4672	4	13	4	4	4	3023	354	1853	4	20	4	160	73	400	4	4	80	297	73	2035	1648	4	25028	14	4	8	7609	5	4	9	4	4	19	4	4	4	4	3056	4	6	12	505	4	4	5	4	585	4	309	16	4	5573	8	4	248	39	4	4	30	4	40	4	502	510	4	4	135	10	4	4	4	167	527	4	53	4	86	109	35	4	12	18	4	37	574	94	1658	4	4	12	4	4	4	4	16	4	4	9	177			4		4	4	4	4	6
Methylsulfinylpropyl		987	669	40	58	326	39	989	8	31	179	70	15	21	17	80	7	10	419	29	84	4	21	300	783	28	4	10	849	12	17	474	88	342	142	258	41	167	4	134	5	901	14	621	131	1061	731	43	1107	6	19	90	27	1143	9	116	11	9	59	977	629	985	61	182	10	459	337	698	13	5	260	494	315	949	921	6	1303	133	59	69	1208	79	19	88	34	7	160	36	38	21	18	1104	16	46	83	700	5	18	84	4	769	5	576	141	38	1125	83	29	510	262	14	4	165	5	242	13	659	678	34	4	494	126	9	12	14	503	772	17	236	21	368	348	182	4	97	119	15	259	593	301	953	10	33	84	5	40	5	11	135	20	5	53	490			14		4	4	13	20	39
Methylsulfinylheptyl		2551	4857	13464	3230	7535	15396	5911	3283	6904	3606	1964	4830	5894	7011	3398	4379	4019	1483	10276	2618	9965	11237	5094	2403	7057	3434	11574	11289	13542	7073	4501	1898	1590	1694	8224	18725	3610	1734	12877	1528	3646	4198	4546	19016	3577	3296	15235	2447	8449	5130	6579	7349	5751	12380	1827	7822	1100	13983	4801	2299	4716	4101	7923	10397	3696	2337	4764	3950	13139	2039	3191	4001	5034	3036	13215	8100	4410	8621	1807	3235	7337	1952	12187	11402	11638	5898	11691	8863	5061	4778	8458	5054	2606	3104	3475	6223	8538	13368	5258	11454	4642	1245	3973	6250	5434	12886	3496	2265	1869	6818	8998	6151	13882	1210	5622	4276	2099	1981	5320	2505	3984	1699	1707	6836	2748	6108	8918	4693	12286	10945	1742	2054	4099	874	3207	2855	24436	3236	1165	3783	3118	1353	4373	810	1037	5561	3682	2253	2990	9517	6781	3688			3934		770	4456	1121	2907	2056
Methylthiobutyl		4	5	33410	20716	49	94	7	4	7877	15	24	30837	6646	4	28	15657	33170	18	14430	4	29244	33063	5	49	1582	163	24990	116	15173	30918	73	4	4	28	17	26467	18	30673	300	14	144	34177	20	33436	17	41	12846	65	8111	499	4	26827	15	24973	12	10242	32	32197	10	58	52	32	22455	4062	226	4	281	34231	3925	5	4	256	14	18	681	163	5	33981	4	60	33642	30	27514	33587	10932	33669	33465	22354	23134	33703	22	76	41	105	120	1680	16508	33809	202	6	6803	4	274	34623	33	34373	23	6	5	34056	28278	289	8032	42	16146	11	33	4	33408	7	28	12	54	354	6	94	31309	56	25555	79	6	172	32755	4	123	9	34230	7	4	4	32023	4	33480	9	4	29562	33937	58	33492	33735	32096	25			5326		31588	4	19	4	4
Methylsulfinylpentyl		10	13	204	44	55	20	21	7	46	48	32	150	66	8	45	38	241	30	69	7	102	284	17	39	33	37	66	87	223	76	91	12	8	37	21	290	36	116	116	32	71	298	33	223	30	24	111	37	19	71	14	105	49	77	15	44	20	219	34	28	29	52	159	46	45	16	82	229	64	11	11	40	27	31	49	69	22	288	5	68	371	36	94	110	48	312	157	170	69	222	56	68	44	61	57	29	83	383	16	37	33	10	75	290	45	606	54	16	18	324	53	51	52	33	60	30	38	8	327	18	44	29	34	23	17	65	73	66	115	102	12	49	559	7	42	36	556	18	8	18	239	7	222	23	11	45	277	39	199	328	62	19			26		75	6	24	11	5
Methylthiopentyl		4	4	113	30	19	13	8	4	29	13	17	93	12	4	6	15	101	4	25	4	93	142	8	5	14	26	18	27	68	50	22	4	5	18	5	161	6	46	57	22	8	222	6	156	7	7	39	16	13	33	4	26	14	18	4	28	13	129	10	8	17	19	31	20	35	4	32	163	13	10	5	38	8	4	11	29	4	339	4	15	188	14	58	80	32	120	116	49	46	121	16	16	29	18	9	10	32	220	4	13	10	6	27	214	9	519	16	4	4	181	38	46	32	14	38	8	7	4	327	6	15	8	20	4	6	29	47	29	54	26	8	25	1242	4	36	28	282	14	4	10	103	5	166	13	4	27	128	13	129	223	61	14			12		55	4	19	4	4
