identifier,defaultValue,description,dataType,hasOne_identifier
alignmentmetrics,${fileWithIndexID}.alignmentmetrics,,,
alignmentmetricsjar,${picard}/CollectAlignmentSummaryMetrics.jar,,,
allRawNgsDataDir,${datadir}/rawdata/ngs/,"Contains all rawdata (i.e., *.fq files)",string,
allRunDemultiplexDir,${datadir}/runs/,Demultiplex historical data specific runs directory,string,
analyzecovariatesjar,${tooldir}/GATK-1.0.5069/Sting/dist/AnalyzeCovariates.jar,,,
annotationPath,${resdir}/${genome}/dbsnp,,,
arraydir,${datadir}/rawdata/array,,,
arrayFile,,,,
arrayfilelocation,${arraydir}/${arrayFile}_FinalReport.txt,(ConcordanceCheck),,
arrayID,,,,
arraymapfile,${sample}.concordance.map,(ConcordanceCheck),,
arraytmpmap,${sample}.concordance.tmp.map,(ConcordanceCheck),,
baitintervals,${intervallistdir}/${capturingKit}_baits_${genome}_${indexfileIDtest}.interval_list,,,
baitsbed,${intervallistdir}/${capturingKit}_baits_${genome}_${indexfileIDtest}.bed,,,
bamfile,${fileWithIndexID}.bam,(sam to bam),,
bamindexstats,${fileWithIndexID}.bamindexstats,(picardQC),,
bamindexstatsjar,${picard}/BamIndexStats.jar,,,
barcode,,,,
buildbamindexjar,${picard}/BuildBamIndex.jar,,,
bwaaligncores,4,(bwa_align),,
bwaalignjar,${tooldir}/bwa-0.5.8c_patched/bwa,(bwa_align),,
bwasampejar,${tooldir}/bwa-0.5.8c_patched/bwa,(bwa_sampe),,
capturingKit,,,,
classtableout,${snpstatsprefix}.class.tex,QCReport,,
clusterQueue,umcg,,,
compressedDemultiplexedDiscardedFastqFilepathPE1,${runIntermediateDir}${demultiplexedDiscardedFastqFilenamePE1}${gzipExtension},use these for demultiplexed reads assigned to a sample,,
compressedDemultiplexedDiscardedFastqFilepathPE2,${runIntermediateDir}${demultiplexedDiscardedFastqFilenamePE2}${gzipExtension},use these for demultiplexed reads assigned to a sample,,
compressedDemultiplexedDiscardedFastqFilepathSR,${runIntermediateDir}${demultiplexedDiscardedFastqFilenameSR}${gzipExtension},use these for demultiplexed reads assigned to a sample,,
compressedDemultiplexedSampleFastqFilepathPE1,${runIntermediateDir}${demultiplexedSampleFastqFilenamePE1}${gzipExtension},use these for demultiplexed reads assigned to a sample,,
compressedDemultiplexedSampleFastqFilepathPE2,${runIntermediateDir}${demultiplexedSampleFastqFilenamePE2}${gzipExtension},use these for demultiplexed reads assigned to a sample,,
compressedDemultiplexedSampleFastqFilepathSR,${runIntermediateDir}${demultiplexedSampleFastqFilenameSR}${gzipExtension},use these for demultiplexed reads assigned to a sample,,
compressedFastqFilepathPE1,${allRawNgsDataDir}/${runPrefix}/${fastqFilenamePE1}${gzipExtension},use these for multiplexed files,string,
