name,protocol_name,PreviousSteps_name
Demultiplex,Demultiplex,
Zipfq,Zipfq,Demultiplex
Fastqc,Fastqc,Zipfq
BwaAlignLeft,BwaAlignLeft,Fastqc
BwaAlignRight,BwaAlignRight,Fastqc
BwaSampe,BwaSampe,"BwaAlignLeft, BwaAlignRight"
SamToBam,SamToBam,BwaSampe
SamSort,SamSort,SamToBam
PicardQC,PicardQC,SamSort
Markduplicates,Markduplicates,SamSort
RealignTargetCreator,RealignTargetCreator,Markduplicates
Realign,Realign,RealignTargetCreator
Fixmates,Fixmates,Realign
CovariatesBefore,CovariatesBefore,Fixmates
Recalibrate,Recalibrate,"Fixmates, CovariatesBefore"
SamSortRecal,SamSortRecal,Recalibrate
CovariatesAfter,CovariatesAfter,SamSortRecal
AnalyzeCovariates,AnalyzeCovariates,"CovariatesBefore, CovariatesAfter"
PicardQCrecal,PicardQCrecal,SamSortRecal
Coverage,Coverage,SamSortRecal
IndelGenotyper,IndelGenotyper,SamSortRecal
FilterIndels,FilterIndels,IndelGenotyper
UnifiedGenotyper,UnifiedGenotyper,SamSortRecal
MakeIndelMask,MakeIndelMask,FilterIndels
VariantAnnotator,VariantAnnotator,"SamSortRecal, UnifiedGenotyper"
GenomicAnnotator,GenomicAnnotator,VariantAnnotator
VariantFiltration,VariantFiltration,"GenomicAnnotator, MakeIndelMask"
VcfToTable,VcfToTable,VariantFiltration
ConcordanceCheck,ConcordanceCheck,"SamSortRecal, UnifiedGenotyper"
QCStatistics,QCStatistics,PicardQC
