name	Investigation_name	FeatureType	TargetType	ValueType	Storage
CBxN2_USA_RILs	Panacea	Marker	Panel	Decimal	Binary
CBxN2_WUR_NILs	Panacea	Panel	Marker	Text	Binary
CBxN2_WUR_RILs	Panacea	Panel	Marker	Text	Binary
NIL_LSP_T20	Panacea	DerivedTrait	Panel	Text	Binary
age_lsp_phe	Panacea	Panel	ClassicalPhenotype	Decimal	Binary
age_nil_phe	Panacea	ClassicalPhenotype	Panel	Decimal	Binary
age1_eff	Panacea	Marker	Probe	Decimal	Binary
age1_exp_norm_ril	Panacea	Panel	Probe	Decimal	Binary
age1_qtl	Panacea	Marker	Probe	Decimal	Binary
age12_eff	Panacea	Marker	Probe	Decimal	Binary
age12_int_eff	Panacea	Marker	Probe	Decimal	Binary
age12_int_qtl	Panacea	Marker	Probe	Decimal	Binary
age12_qtl	Panacea	Marker	Probe	Decimal	Binary
age2_eff	Panacea	Marker	Probe	Decimal	Binary
age2_exp_norm_ril	Panacea	Panel	Probe	Decimal	Binary
age2_qtl	Panacea	Marker	Probe	Decimal	Binary
age23_eff	Panacea	Marker	Probe	Decimal	Binary
age23_int_eff	Panacea	Marker	Probe	Decimal	Binary
age23_int_qtl	Panacea	Marker	Probe	Decimal	Binary
age23_qtl	Panacea	Marker	Probe	Decimal	Binary
age3_eff	Panacea	Marker	Probe	Decimal	Binary
age3_exp_norm_ril	Panacea	Panel	Probe	Decimal	Binary
age3_qtl	Panacea	Panel	Probe	Decimal	Binary
gut_phe	Panacea	Panel	ClassicalPhenotype	Decimal	Binary
nil_age_qtl	Panacea	Marker	ClassicalPhenotype	Decimal	Binary
nil_pump_eff	Panacea	Marker	ClassicalPhenotype	Decimal	Binary
nil_pump_qtl	Panacea	Marker	ClassicalPhenotype	Decimal	Binary
pump_nil_phe	Panacea	ClassicalPhenotype	Panel	Decimal	Binary
rock_exp_norm	Panacea	Panel	Probe	Decimal	Binary
